f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.178,-14.427232159729243,-0.2701114993654144,-0.27009321913450324,-14.429402094854849
1.179,-14.416544327232927,-0.2705953113395621,-0.2705772568061863,-14.418712309521439
1.18,-14.405865479496828,-0.27107977750657186,-0.2710619490598243,-14.40803151355369
1.181,-14.395195614598538,-0.2715648983786206,-0.2715472963955739,-14.397359704983355
1.182,-14.384534730600183,-0.2720506744629355,-0.2720332993086947,-14.38669688182717
1.183,-14.373882825548472,-0.2725371062618042,-0.27251995828954945,-14.376043042086923
1.184,-14.363239897474838,-0.27302419427255237,-0.2730072738235997,-14.365398183749576
1.185,-14.352605944395505,-0.27351193898756293,-0.2734952463914022,-14.354762304787325
1.186,-14.341980964311592,-0.27400034089425795,-0.27398387646861744,-14.344135403157717
1.187,-14.331364955209198,-0.2744894004751144,-0.2744731645259908,-14.333517476803726
1.188,-14.320757915059515,-0.2749791182076372,-0.27496311102936916,-14.322908523653851
1.189,-14.3101598418189,-0.2754694945643843,-0.2754537164396835,-14.312308541622198
1.19,-14.299570733428995,-0.2759605300129482,-0.27594498121295985,-14.301717528608592
1.191,-14.28899058781679,-0.2764522250159571,-0.2764369058003062,-14.291135482498639
1.192,-14.278419402894755,-0.27694458003107686,-0.2769294906479184,-14.280562401163849
1.193,-14.267857176560897,-0.27743759551100267,-0.27742273619707614,-14.26999828246169
1.194,-14.25730390669888,-0.2779312719034741,-0.2779166428841457,-14.259443124235727
1.195,-14.246759591178105,-0.27842560965124596,-0.2784112111405649,-14.248896924315662
1.196,-14.236224227853818,-0.278920609192111,-0.2789064413928589,-14.238359680517451
1.197,-14.225697814567189,-0.279416270958891,-0.27940233406262743,-14.227831390643406
1.198,-14.215180349145411,-0.2799125953794276,-0.27989888956654596,-14.21731205248226
1.199,-14.204671829401798,-0.2804095828765929,-0.2803961083163663,-14.20680166380927
1.2,-14.194172253135878,-0.2809072338682767,-0.2808939907189118,-14.196300222386313
1.201,-14.18368161813348,-0.281405548767396,-0.2813925371760779,-14.185807725961961
1.202,-14.173199922166837,-0.281904527981881,-0.28189174808482914,-14.175324172271592
1.203,-14.162727162994667,-0.2824041719146879,-0.28239162383719985,-14.16484955903746
1.204,-14.152263338362282,-0.2829044809637858,-0.28289216482029333,-14.154383883968798
1.205,-14.141808446001662,-0.28340545552215923,-0.2833933714162749,-14.143927144761907
1.206,-14.13136248363158,-0.28390709597780944,-0.2838952440023768,-14.13347933910024
1.207,-14.120925448957651,-0.28440940271375176,-0.28439778295089396,-14.123040464654498
1.208,-14.110497339672461,-0.28491237610801146,-0.28490098862918767,-14.112610519082713
1.209,-14.100078153455652,-0.28541601653362497,-0.2854048613996704,-14.10218950003035
1.21,-14.089667887973995,-0.285920324358639,-0.2859094016198229,-14.09177740513039
1.211,-14.079266540881516,-0.286425299946107,-0.2864146096421807,-14.081374232003407
1.212,-14.068874109819557,-0.2869309436540943,-0.2869204858143356,-14.07097997825769
1.213,-14.05849059241689,-0.2874372558356643,-0.28742703047893825,-14.060594641489288
1.214,-14.0481159862898,-0.28794423683889225,-0.2879342439736913,-14.050218219282147
1.215,-14.037750289042176,-0.28845188700685154,-0.28844212663135105,-14.039850709208164
1.216,-14.027393498265614,-0.2889602066776241,-0.2889506787797259,-14.029492108827288
1.217,-14.017045611539494,-0.28946919618428874,-0.2894599007416794,-14.019142415687618
1.218,-14.006706626431082,-0.2899788558549258,-0.28996979283512336,-14.00880162732548
1.219,-13.996376540495625,-0.29048918601261814,-0.2904803553730155,-13.998469741265511
1.22,-13.986055351276436,-0.29100018697544194,-0.29099158866336605,-13.98814675502078
1.221,-13.975743056304974,-0.29151185905647603,-0.2915034930092328,-13.977832666092828
1.222,-13.965439653100976,-0.2920242025637889,-0.2920160687087165,-13.967527471971806
1.223,-13.955145139172494,-0.2925372178004565,-0.29252931605496774,-13.957231170136522
1.224,-13.94485951201603,-0.29305090506453746,-0.2930432353361776,-13.946943758054555
1.225,-13.93458276911661,-0.2935652646490904,-0.29355782683558346,-13.936665233182342
1.226,-13.924314907947874,-0.2940802968421671,-0.29407309083146543,-13.92639559296526
1.227,-13.914055925972168,-0.2945960019268086,-0.29458902759714245,-13.9161348348377
1.228,-13.903805820640642,-0.2951123801810497,-0.2951056374009805,-13.905882956223195
1.229,-13.893564589393332,-0.2956294318779163,-0.2956229205063807,-13.895639954534463
1.23,-13.883332229659256,-0.29614715728542385,-0.29614087717178583,-13.885405827173527
1.231,-13.873108738856498,-0.2966655566665741,-0.2966595076506797,-13.875180571531786
1.232,-13.862894114392319,-0.2971846302793636,-0.29717881219157954,-13.864964184990118
1.233,-13.852688353663208,-0.2977043783767717,-0.29769879103804575,-13.854756664918943
1.234,-13.842491454055022,-0.2982248012067675,-0.2982194444286693,-13.844558008678337
1.235,-13.83230341294303,-0.2987458990123014,-0.2987407725970819,-13.834368213618104
1.236,-13.822124227692036,-0.29926767203132093,-0.29926277577195404,-13.824187277077872
1.237,-13.811953895656455,-0.2997901204967479,-0.2997854541769841,-13.814015196387167
1.238,-13.801792414180396,-0.30031324463649467,-0.3003088080309064,-13.803851968865517
1.239,-13.79163978059777,-0.3008370446734561,-0.3008328375474909,-13.79369759182252
1.24,-13.781495992232365,-0.30136152082551376,-0.3013575429355453,-13.783552062557959
1.241,-13.771361046397935,-0.30188667330553004,-0.301882924398902,-13.773415378361857
1.242,-13.76123494039831,-0.30241250232135203,-0.30240898213642997,-13.763287536514584
1.2429999999999999,-13.751117671527451,-0.30293900807580304,-0.3029357163420336,-13.753168534286939
1.244,-13.741009237069568,-0.3034661907667021,-0.30346312720464197,-13.743058368940224
1.245,-13.7309096342992,-0.3039940505868378,-0.30399121490821923,-13.732957037726358
1.246,-13.720818860481291,-0.30452258772398344,-0.3045199796317611,-13.722864537887943
